num_relations,num_threshold_values,num_decimal_pos,query_graph_type,sample_index,num_phys_qubits
6,1,0,CYCLE,19,340
7,1,0,CHAIN,0,487
7,1,0,CHAIN,1,505
7,1,0,CHAIN,2,533
7,1,0,CHAIN,3,514
7,1,0,CHAIN,4,451
7,1,0,CHAIN,5,471
7,1,0,CHAIN,6,497
7,1,0,CHAIN,7,479
7,1,0,CHAIN,8,526
7,1,0,CHAIN,9,529
7,1,0,CHAIN,10,483
7,1,0,CHAIN,11,534
7,1,0,CHAIN,12,501
7,1,0,CHAIN,13,498
7,1,0,CHAIN,14,527
7,1,0,CHAIN,15,494
7,1,0,CHAIN,16,506
7,1,0,CHAIN,17,457
7,1,0,CHAIN,18,485
7,1,0,CHAIN,19,529
7,1,0,STAR,0,445
7,1,0,STAR,1,521
7,1,0,STAR,2,506
7,1,0,STAR,3,519
7,1,0,STAR,4,533
7,1,0,STAR,5,493
7,1,0,STAR,6,516
7,1,0,STAR,7,506
7,1,0,STAR,8,512
7,1,0,STAR,9,515
7,1,0,STAR,10,511
7,1,0,STAR,11,470
7,1,0,STAR,12,502
7,1,0,STAR,13,480
7,1,0,STAR,14,507
7,1,0,STAR,15,496
7,1,0,STAR,16,574
7,1,0,STAR,17,509
7,1,0,STAR,18,494
7,1,0,STAR,19,470
7,1,0,CYCLE,0,540
7,1,0,CYCLE,1,495
7,1,0,CYCLE,2,533
7,1,0,CYCLE,3,520
7,1,0,CYCLE,4,510
7,1,0,CYCLE,5,546
7,1,0,CYCLE,6,519
7,1,0,CYCLE,7,533
7,1,0,CYCLE,8,541
7,1,0,CYCLE,9,564
7,1,0,CYCLE,10,515
7,1,0,CYCLE,11,525
7,1,0,CYCLE,12,507
7,1,0,CYCLE,13,522
7,1,0,CYCLE,14,469
7,1,0,CYCLE,15,535
7,1,0,CYCLE,16,600
7,1,0,CYCLE,17,598
7,1,0,CYCLE,18,530
7,1,0,CYCLE,19,519
8,1,0,CHAIN,0,703
8,1,0,CHAIN,1,780
8,1,0,CHAIN,2,674
8,1,0,CHAIN,3,669
8,1,0,CHAIN,4,763
8,1,0,CHAIN,5,726
8,1,0,CHAIN,6,757
8,1,0,CHAIN,7,690
8,1,0,CHAIN,8,685
